yield,net_profit,net_worth,debt_ratio
3.65,1.35,77.81,22.19
4.59,0.42,77.82,22.18
0.63,0.18,77.85,22.15
2.04,1.97,77.86,22.14
2.26,0.04,77.95,22.05
4.26,1.06,77.98,22.02
0,0.1,78.02,21.98
1.39,0.8,78.14,21.86
0,-0.37,78.19,21.81
5.91,-0.34,78.22,21.78
0,0.2,78.28,21.72
5.1,0.26,78.4,21.6
2.21,0.62,78.44,21.56
0,-0.7,78.47,21.53
2.81,-0.12,78.53,21.47
2.33,2.51,78.55,21.45
0,-0.48,78.61,21.39
3.11,1.03,78.72,21.28
5.21,3.75,78.78,21.22
6.64,3.79,78.79,21.21
3.66,1.67,78.8,21.2
2.19,0.97,78.99,21.01
2.45,1.8,79.05,20.95
6.41,1,79.07,20.93
0,0.06,79.15,20.85
1.79,3.2,79.17,20.83
4.54,2.37,79.18,20.82
2.19,1.78,79.18,20.82
3.62,2.2,79.21,20.79
0.73,3.64,79.27,20.73
2.96,0.06,79.34,20.66
0,-0.58,79.34,20.66
2.22,2.55,79.35,20.65
0,-0.27,79.41,20.59
4.87,2.53,79.51,20.49
3.04,2.28,79.53,20.47
2.37,0.74,79.56,20.44
5.61,0.92,79.62,20.38
2.12,0.03,79.63,20.37
4.98,1.48,79.67,20.33
1.75,1.53,79.79,20.21
4.73,1.44,79.82,20.18
0,-0.16,79.94,20.06
2.56,0.72,80,20
1.76,0.37,80.02,19.98
0,-0.2,80.14,19.86
0.72,2.15,80.18,19.82
2.5,0.72,80.2,19.8
4.3,-0.41,80.21,19.79
6.38,3.68,80.22,19.78
0,-0.52,80.26,19.74
13.02,0.03,80.31,19.69
0,-0.37,80.36,19.64
0,1.2,80.37,19.63
1.74,-0.3,80.43,19.57
3.11,2.09,80.46,19.54
1.57,8.25,80.51,19.49
1.48,0.02,80.72,19.28
0,-1.06,80.77,19.23
4.29,2.66,80.89,19.11
2.77,1.8,80.95,19.05
3.93,3.03,80.99,19.01
5.73,1.22,81.04,18.96
3.47,1.77,81.09,18.91
3.11,4.54,81.12,18.88
0,-0.29,81.12,18.88
4.85,2.45,81.13,18.87
1.16,-0.12,81.14,18.86
2.79,0.7,81.18,18.82
2.14,1.42,81.23,18.77
2.15,1.24,81.24,18.76
0,0.26,81.25,18.75
0,-1.1,81.25,18.75
0,0.15,81.28,18.72
0,0.63,81.31,18.69
4.44,1.64,81.39,18.61
0,-3.24,81.41,18.59
0,-0.24,81.48,18.52
1.71,-0.04,81.52,18.48
2.78,0.64,81.56,18.44
2.55,11.51,81.59,18.41
0,-0.15,81.64,18.36
0,-1.13,81.65,18.35
1.27,0.65,81.69,18.31
2.29,2.21,81.76,18.24
0,0.12,81.76,18.24
1.65,1.82,81.91,18.09
2.33,0.72,81.95,18.05
3.24,1.13,81.99,18.01
0,-0.79,82.09,17.91
4.34,3.54,82.14,17.86
3.97,2.19,82.23,17.77
0,0.19,82.31,17.69
3.57,0.51,82.37,17.63
3.23,0.57,82.39,17.61
5.16,1.48,82.49,17.51
0.51,0.17,82.54,17.46
0.25,1.02,82.58,17.42
0,0.22,82.63,17.37
2.05,0.33,82.64,17.36
1.92,1.61,82.66,17.34
2.07,0.96,82.72,17.28
4.6,2.03,82.76,17.24
0.8,0.33,82.86,17.14
0,0.32,82.88,17.12
3.18,-0.08,82.89,17.11
0,-0.36,82.97,17.03
0,1.35,83,17
0.43,3.27,83.06,16.94
0.77,0.33,83.06,16.94
5.29,2.04,83.07,16.93
2.97,1.15,83.08,16.92
1.52,-1.07,83.1,16.9
0,-0.53,83.12,16.88
0,-0.32,83.14,16.86
0,-0.28,83.2,16.8
0,0.32,83.24,16.76
0.82,0.07,83.24,16.76
1.81,4.55,83.27,16.73
3.82,1.35,83.43,16.57
0,-0.65,83.5,16.5
2.58,1.07,83.52,16.48
0,-1.5,83.55,16.45
4.61,0.5,83.58,16.42
0,0.09,83.63,16.37
1.13,1.73,83.64,16.36
0,-0.32,83.81,16.19
2.99,0.95,83.84,16.16
1.34,0.19,83.95,16.05
0,0.36,84.06,15.94
3.15,0.22,84.22,15.78
3.79,4.17,84.28,15.72
2.19,0.08,84.33,15.67
0.69,2.05,84.38,15.62
0,-0.36,84.4,15.6
1.38,4.27,84.42,15.58
0.53,-0.4,84.58,15.42
0,0.51,84.64,15.36
1.3,2.07,84.71,15.29
2.66,3.81,84.74,15.26
2.16,0.99,84.91,15.09
4.82,1.14,84.96,15.04
1.78,2.01,85.02,14.98
2.46,79.49,85.07,14.93
0,-4.47,85.12,14.88
0,0.52,85.15,14.85
0,0.24,85.16,14.84
1.38,38.99,85.18,14.82
1.3,0.21,85.3,14.7
0,0.43,85.32,14.68
2.23,0.26,85.34,14.66
0,-2.27,85.34,14.66
5.41,0.29,85.36,14.64
3.93,0.14,85.4,14.6
2.09,0.57,85.45,14.55
0.66,0.92,85.47,14.53
2.75,1.71,85.5,14.5
2.46,2.3,85.51,14.49
0,-0.04,85.51,14.49
0.37,0.72,85.52,14.48
2.11,0.24,85.55,14.45
2.9,1.87,85.59,14.41
1.49,14.39,85.61,14.39
0,-1.59,85.67,14.33
0.62,0.95,85.75,14.25
1.94,0.06,85.76,14.24
2.56,-0.44,85.81,14.19
0,-0.59,85.81,14.19
6.09,0.9,85.85,14.15
0,0.24,85.88,14.12
0,0.07,85.99,14.01
0,-0.8,86.01,13.99
2.07,1.84,86.11,13.89
2.32,1.43,86.12,13.88
0,-0.27,86.18,13.82
2.45,0.45,86.23,13.77
0,-0.62,86.23,13.77
0,-0.37,86.29,13.71
0,-1.78,86.29,13.71
2.65,2.01,86.3,13.7
0,-0.22,86.41,13.59
0,-3.05,86.42,13.58
1.03,0.27,86.46,13.54
4.56,5.05,86.52,13.48
1.98,0,86.56,13.44
1.68,0.64,86.84,13.16
4.86,1.26,87.02,12.98
0.94,0.37,87.04,12.96
1.84,1.43,87.09,12.91
1.25,0.89,87.09,12.91
0,-0.42,87.12,12.88
0,-0.08,87.15,12.85
0,0.62,87.16,12.84
0.98,1.2,87.2,12.8
0,-0.29,87.24,12.76
0,-4.64,87.42,12.58
0.98,-0.43,87.53,12.47
4.5,0.97,87.62,12.38
1.96,2.31,87.65,12.35
0.12,-0.55,87.65,12.35
0,-0.48,87.71,12.29
0,0.21,87.74,12.26
0,-0.33,87.81,12.19
0.33,0.29,87.85,12.15
0,0.2,87.86,12.14
0,0.32,87.9,12.1
0,-0.33,87.95,12.05
0.3,-0.76,88,12
2.71,0.54,88.26,11.74
0.87,-0.03,88.27,11.73
0.78,1.56,88.3,11.7
1.05,4.49,88.38,11.62
0,0.04,88.52,11.48
1.98,0.73,88.55,11.45
0,-0.77,88.59,11.41
0.3,-0.03,88.61,11.39
0,-0.03,88.64,11.36
0,-0.93,88.64,11.36
0.35,1.46,88.65,11.35
0,0.74,88.65,11.35
0.58,1.13,88.73,11.27
0,-1.06,88.74,11.26
0,-0.98,88.78,11.22
5.98,0.59,88.82,11.18
0.96,0.86,88.85,11.15
3.67,7.75,88.99,11.01
2.07,1.82,88.99,11.01
2.52,2.66,89.03,10.97
0,0.06,89.08,10.92
2.97,0.37,89.22,10.78
0,0.14,89.26,10.74
0,-0.18,89.31,10.69
4.06,3.72,89.41,10.59
0,-0.05,89.49,10.51
0,-0.4,89.56,10.44
2.41,0.72,89.57,10.43
0,-1.88,89.64,10.36
0.83,24.4,89.72,10.28
0,-0.73,89.79,10.21
0,3.04,89.8,10.2
0,-0.6,89.8,10.2
0,-0.61,89.82,10.18
0,1.68,89.83,10.17
3.7,-0.35,89.85,10.15
0,-0.86,89.85,10.15
0,-0.19,89.86,10.14
0.36,0.52,89.87,10.13
0.67,0.63,89.9,10.1
0,-0.08,89.98,10.02
0,-0.04,90.12,9.88
0.75,-1.68,90.14,9.86
0,-0.41,90.17,9.83
0,-0.51,90.39,9.61
0.42,1.66,90.47,9.53
0.58,0.08,90.5,9.5
0,-1.43,90.55,9.45
0,-0.52,90.64,9.36
0,0.05,90.72,9.28
0,-0.45,90.72,9.28
0,-2.54,90.73,9.27
3.48,8.2,90.82,9.18
0.92,0.67,90.84,9.16
0,-0.66,90.93,9.07
0,-0.28,91.03,8.97
1.81,0.22,91.18,8.82
0,0.08,91.22,8.78
0,-0.72,91.23,8.77
0,0.06,91.24,8.76
0,-0.62,91.24,8.76
0,-1.86,91.26,8.74
3.5,2.3,91.27,8.73
0,-1.18,91.35,8.65
3.21,4.41,91.4,8.6
0,-0.67,91.4,8.6
1.82,0.6,91.49,8.51
0.77,0.18,91.59,8.41
1.33,0.28,91.6,8.4
5.59,2.99,91.7,8.3
0,0.32,91.9,8.1
0,-0.13,91.92,8.08
0,-0.35,91.96,8.04
0.11,2.47,92.04,7.96
0,-0.23,92.14,7.86
0,-0.34,92.16,7.84
0.95,1.56,92.22,7.78
1.52,1.67,92.23,7.77
0,-0.26,92.34,7.66
0,-0.49,92.52,7.48
0,0.86,92.67,7.33
0.48,0,92.7,7.3
0,-1.19,92.73,7.27
1.33,5.28,93.07,6.93
0,-0.83,93.13,6.87
6.94,1.04,93.21,6.79
1.78,0.34,93.21,6.79
0,-0.37,93.47,6.53
1.78,1.78,93.6,6.4
0,-0.76,93.69,6.31
0,-0.41,93.81,6.19
0,-1.09,93.95,6.05
0,0.14,93.96,6.04
2.12,0.74,94.01,5.99
0.82,-0.07,94.05,5.95
0,-0.32,94.2,5.8
5.05,0.02,94.27,5.73
0,-0.83,94.47,5.53
0,-0.56,94.53,5.47
0,-2.67,94.55,5.45
0,-0.19,94.75,5.25
0,-0.65,94.87,5.13
1.66,0.09,94.98,5.02
0,-0.79,95.07,4.93
0,-0.3,95.13,4.87
0,-0.47,95.52,4.48
0,-0.07,95.53,4.47
0,-0.25,95.7,4.3
0,-1.42,95.74,4.26
0,-0.76,95.96,4.04
0,-0.43,96.03,3.97
0,-1.11,96.27,3.73
0,-1.2,96.35,3.65
0,-4.41,96.58,3.42
0,-0.29,96.88,3.12
0,-0.22,97.06,2.94
0,-1.49,97.16,2.84
0.6,0.13,97.29,2.71
0,-0.11,97.31,2.69
0,-2.58,97.45,2.55
0.38,-0.25,97.66,2.34
0,-1.04,97.72,2.28
0,-0.93,98.04,1.96
1.24,0.71,98.14,1.86
0,-0.08,98.38,1.62
0,-1.14,98.47,1.53
0,-1.11,98.59,1.41
0,-0.03,99.24,0.76
