yield,debt,total,roa,class
0,30.73,-7.88,-6.74,1
1.62,30.73,-2.33,5.42,2
3.81,30.65,3.7,9.8,3
4.4,30.62,-2.88,2.39,3
3.13,30.61,4.31,3.34,3
5.99,30.59,11.56,14.13,4
2.41,30.56,11.49,4.8,2
5.67,30.56,-20.35,15.61,4
0,30.55,-14.69,-8.08,1
4.48,30.52,6.67,13.07,3
6.24,30.52,-2.01,9.02,4
0,30.5,3.31,-5.76,1
5.88,30.5,-19.36,7.57,4
0,30.44,1.94,-14.04,1
0,30.29,3,3.21,1
1.4,30.23,0.65,2.24,2
2.67,30.23,7.78,3.19,2
4.04,30.23,-10.29,10.98,3
0.69,30.17,9.27,4.42,1
1.06,30.17,-10.92,-0.55,2
1.54,30.17,-4.9,9.69,2
2,30.09,12.29,3.1,2
0,30.07,14.37,6.44,1
5.74,30.07,4.32,13.64,4
1.2,30.01,-3.1,2.67,2
0,29.98,-8.03,-6.31,1
5.34,29.97,5.8,9.67,4
4.08,29.95,-6.66,6.23,3
0,29.93,5.08,-3.79,1
6.33,29.8,-6.87,7.04,4
3.7,29.68,18.88,12.49,3
5.84,29.53,-15.61,8.62,4
4.17,29.49,7.09,10.48,3
4.2,29.49,31.13,10.99,3
6.54,29.38,-25.05,8.07,4
2.55,29.32,4.02,17.49,2
3.9,29.27,-22.74,1.11,3
2.55,29.26,-15.35,-2.61,2
2.56,29.2,2.54,4.7,2
2.49,29.19,0.71,2.59,2
4.11,29.16,6.99,14.01,3
2.51,29.1,11.05,10.5,2
4.69,29.05,-1.5,7.34,3
5.07,29.02,-5.37,0.11,4
3.2,28.98,-9.04,4.11,3
8.17,28.96,14.55,16.46,5
0,28.95,-0.73,-1.62,1
9.15,28.91,-14.19,7.91,6
0.51,28.9,-19.01,2.8,1
5.46,28.88,0.37,8.21,4
2.49,28.86,1.46,9.68,2
3.88,28.86,0.66,7.15,3
4.19,28.85,-1.71,8.17,3
0,28.77,-7.23,0.53,1
3.63,28.77,5.97,19.11,3
0,28.73,-4.23,-5.61,1
0,28.68,-21.97,-34.46,1
3.33,28.65,1.3,4.3,3
1.61,28.54,-1.44,5.75,2
2.02,28.53,-3.64,5.94,2
7.01,28.53,4.59,9.94,5
3.58,28.5,12.59,22.29,3
7.09,28.5,-0.79,4.59,5
1.31,28.49,-9.26,-1.87,2
0,28.48,-6.62,-0.25,1
1.3,28.43,-14.45,8.68,2
0,28.4,-17.2,-9.51,1
1.48,28.39,1.86,3.56,2
0,28.38,-9.19,-9.85,1
2.53,28.34,-10.47,-0.53,2
0.42,28.33,-7.26,1.94,1
2.71,28.31,-7.38,2.93,2
8.55,28.31,-5.68,7.46,5
3.57,28.21,-9.43,4.35,3
6.24,28.17,0.46,8.29,4
5.06,28.13,10.47,15.08,4
0.81,28.11,-11.21,2.36,1
3.29,28.1,-1.92,1.9,3
5.12,28.07,11.94,6.9,4
6.41,28.06,-1.8,11.73,4
4.07,28.02,1.66,10.88,3
2.52,27.99,44.94,14.2,2
8.06,27.96,31.05,12.53,5
1.47,27.94,-16.34,0.92,2
5.22,27.85,-5.1,4.7,4
3.38,27.84,1.57,12.27,3
3.24,27.83,0.52,3.72,3
2.1,27.79,17.71,6.99,2
5.8,27.77,-4.88,10.22,4
3.24,27.75,-7.74,5.51,3
1.67,27.73,-20.36,-1.12,2
2.6,27.71,30.59,17.76,2
1.27,27.66,-2.68,-1.63,2
0,27.62,-6.4,-2.06,1
6.4,27.62,0.03,5.06,4
4.86,27.59,19.2,16.82,3
3.66,27.58,-8.26,3.74,3
6.28,27.57,-5.04,26.55,4
2.09,27.56,-1.48,9,2
1.08,27.47,-1.46,-2.35,2
2.16,27.47,38.79,6.43,2
4.17,27.44,-5.77,6.96,3
2.77,27.41,0.55,6.19,2
1.52,27.39,-1.75,3.44,2
3.62,27.36,-7.84,6.96,3
0,27.35,-6.16,-3.56,1
4.55,27.33,-2.8,3.82,3
4.07,27.3,19.05,4.14,3
4.1,27.27,2.01,11.85,3
5.3,27.18,11.34,16.61,4
0,27.17,1.23,-3.04,1
2.86,27.16,-8.4,-1.37,2
0,27.1,-24.97,-20.04,1
3.67,27.06,6.52,8.74,3
0,27,24.59,18.4,1
2.48,26.99,10.52,2.44,2
3.7,26.98,27.86,11.39,3
6.27,26.96,4.68,9.4,4
6.28,26.95,0.32,6.45,4
2.28,26.87,-7.69,-0.16,2
0,26.85,-0.33,-0.82,1
6.21,26.8,5.38,9.98,4
4.77,26.7,-17.55,6.6,3
0,26.67,-27.48,-12.24,1
2.42,26.67,27.73,3.84,2
0,26.63,207.27,-6.45,1
1.75,26.62,6.32,11.28,2
3.47,26.6,3.26,8.09,3
1.26,26.56,-0.7,15.93,2
1.74,26.54,11.66,2.69,2
0.79,26.53,9.69,3.67,1
2.43,26.52,66.18,1.18,2
4.07,26.52,5.78,12.26,3
0,26.5,-13.05,0.05,1
0,26.43,9.54,5.97,1
0.76,26.42,-0.68,1.48,1
2.4,26.4,-7.92,-0.3,2
3.09,26.38,11.56,9.13,3
5.3,26.33,-3.77,10.64,4
3.28,26.31,-0.65,5.92,3
0.86,26.28,11.13,15.52,1
3.05,26.23,-16.8,3.1,3
5.91,26.18,8.88,7.95,4
5.26,26.06,4.49,9.33,4
0,26.02,-23.99,-0.21,1
2.88,26.02,6.62,12.74,2
1.81,25.96,-10.26,-1.6,2
1.08,25.95,-0.34,1.48,2
3.08,25.93,0.46,2.29,3
6.22,25.86,16.01,42.2,4
8.65,25.81,37.85,13.99,5
3.78,25.76,4.13,12.66,3
4.82,25.76,25.03,14.57,3
0,25.66,181.2,-53.79,1
7.04,25.55,8.51,10.77,5
4.29,25.53,-12.36,13.48,3
3.13,25.49,0.91,1.3,3
0,25.47,-1.29,0.29,1
3.41,25.47,3.05,3.16,3
4.32,25.47,-1.87,13.3,3
0,25.45,-3.83,-3.7,1
0,25.43,37.49,-26.08,1
4.69,25.41,-2.14,8.19,3
2.34,25.37,33.09,26.74,2
3.7,25.35,4.63,16.77,3
3.65,25.34,-4.09,6.12,3
2.29,25.29,0.11,1.36,2
3.26,25.28,-9.17,4.69,3
1.82,25.23,-3.78,-3.99,2
0,25.18,-5.33,-0.97,1
5.88,25.14,7.03,15.59,4
3.39,25.13,7.2,-3.93,3
3.4,25.09,6.73,18.63,3
5.2,25.08,0.9,18.23,4
2.81,25.06,5.67,12.88,2
2,25.04,61.08,13.86,2
4.42,25.03,3.05,13.85,3
4.81,25.01,15.41,12.7,3
0,24.99,-10.12,-1.63,1
4.95,24.89,10.64,24.11,3
2.85,24.84,6.5,15.41,2
0,24.83,-24.67,-6.89,1
0,24.81,-19.09,1.83,1
5.56,24.8,3.35,11.38,4
2.96,24.77,-2.54,2.57,2
0,24.75,-4.1,-6.44,1
3.22,24.7,2.95,8.38,3
0,24.65,21.12,22.12,1
3.97,24.63,0.14,7.38,3
0,24.62,208.8,-0.91,1
3.45,24.62,-3.31,2.68,3
0,24.61,-10.72,-6.91,1
0,24.61,-18.99,-4.13,1
0.85,24.54,39.42,8.51,1
1.3,24.49,-10.14,-6.93,2
2.37,24.33,-15.52,5.18,2
2.48,24.32,3.83,6.83,2
4.36,24.32,5.62,19.79,3
0.09,24.31,-15.34,0.83,1
5.51,24.29,-19.87,4.55,4
4.84,24.27,-0.87,6.57,3
1.55,24.26,-8.1,0.7,2
3.23,24.25,40.73,12.48,3
1.9,24.22,6.57,1.5,2
1.98,24.16,-4.97,1.51,2
0.97,24.08,-5.03,5.26,1
1.23,24.08,-0.17,5.44,2
2.35,24.04,0.04,5.55,2
2.68,24.04,-1.2,10.51,2
7.07,24.04,-8.78,5.83,5
7.65,24.04,2.98,8.68,5
2.85,23.94,2.27,6.36,2
1.68,23.93,8.37,2.66,2
0,23.88,-15.44,-8.42,1
4.29,23.82,20.06,14.05,3
1.29,23.78,34.88,8.53,2
2.78,23.77,-3.46,9.14,2
1.15,23.76,-4.97,1.65,2
2.04,23.72,8.87,6.04,2
3.33,23.7,0.61,12.36,3
1.06,23.65,-1.4,2.99,2
2.03,23.6,1.22,0.47,2
4.27,23.43,-1.33,11.22,3
2.03,23.4,-10.64,2.05,2
1.94,23.33,-12.24,-11.07,2
0,23.32,-1.91,-1.69,1
2,23.31,5.14,3.74,2
2.09,23.21,-0.05,2.73,2
1.98,23.19,-7.79,-1.53,2
4.85,23.12,-1.45,9.75,3
0,23.08,-0.73,-3.64,1
1.72,23.06,-4.6,15.65,2
2.67,23.02,-6.34,6.38,2
2.02,23,37.78,29.49,2
0,22.98,-11.75,-0.08,1
0,22.96,4.24,-2.55,1
13.86,22.87,16.85,13.78,6
2.72,22.82,-8.17,1.73,2
3.38,22.77,20.22,10.17,3
6.37,22.75,234.41,19.96,4
3.15,22.72,20.99,18,3
2.65,22.63,-26.68,6.69,2
0,22.62,-7.09,-0.92,1
6.25,22.59,13.06,15.99,4
2.43,22.58,13.69,15.17,2
2.61,22.55,-0.04,7.87,2
2.09,22.53,1.58,6.54,2
1.57,22.51,4.58,2.03,2
4.54,22.47,-7.13,6.16,3
3.69,22.44,-8.03,5.78,3
4.26,22.43,2.22,-0.33,3
5.29,22.41,4.11,6.9,4
6.31,22.35,-6.1,9.47,4
2.86,22.28,-1.66,3.54,2
6.06,22.23,-7.73,8.66,4
6.14,22.2,-0.8,6.75,4
0.62,22.14,-4.67,8.23,1
0,22.13,-2.73,0.2,1
1.3,22.13,0.43,14.57,2
2.47,22.09,14.81,18.87,2
3.15,22.07,3.07,2.46,3
1.21,21.92,0.2,-0.67,2
5.9,21.85,-5.17,2.44,4
6.25,21.85,0.8,5.09,4
4.7,21.78,25.89,19.19,3
2.73,21.77,-8.66,4.95,2
5.32,21.77,23.16,26.88,4
1.32,21.74,-10.35,1.61,2
5.4,21.7,-2.66,8.59,4
0,21.69,-15.63,-6.29,1
1.5,21.67,-0.03,1.53,2
0,21.65,-0.09,-9.79,1
2.08,21.62,33.24,5.55,2
5.77,21.61,2.14,14.82,4
2.82,21.58,-11.26,3.06,2
5.31,21.58,3.87,11.37,4
5.71,21.58,6.05,16.24,4
1.83,21.56,-7.77,2.87,2
0,21.49,-12.25,-4.04,1
4.17,21.4,9.66,21.22,3
5.26,21.37,2.28,10.9,4
0,21.34,-27.03,-11.72,1
0,21.33,18.59,-25.96,1
3.25,21.3,-1.31,9.42,3
3.51,21.29,1.32,2.26,3
0,21.28,79.19,-53.42,1
0,21.11,-9.62,-3.71,1
6.03,21.1,-2.27,7.59,4
0,21.05,-8.79,-8.3,1
5.87,21,-4.38,10.61,4
4.24,20.99,3.06,13.95,3
0,20.94,-9.14,0.16,1
4.73,20.94,-2.38,7.52,3
0,20.88,-25.69,-3.17,1
3.11,20.88,44.45,7.79,3
3.68,20.87,-6.59,6.84,3
3.01,20.83,1.67,4.03,3
0.73,20.81,-5.84,4.82,1
0,20.79,3.77,-7.98,1
5.8,20.74,-5.32,4.98,4
0,20.73,14.78,11.17,1
2.79,20.71,-0.22,4.97,2
3.25,20.71,12.75,6.63,3
0,20.69,0.8,-13.09,1
5.93,20.66,1.3,13.13,4
3.65,20.62,-2.06,6.72,3
2.54,20.58,-5.59,2.98,2
1.04,20.57,1.74,5.28,2
0,20.53,-7.21,-10.32,1
2.37,20.53,6.46,9.87,2
1.57,20.47,5.59,14.15,2
2.34,20.41,-2.12,4.26,2
1.46,20.37,-17.73,3.69,2
6.22,20.28,-26.33,14.01,4
0.49,20.25,53.32,1.65,1
2.05,20.24,-9.63,9.26,2
1.55,20.14,6.99,13.58,2
4.11,20.11,4.37,8.87,3
0,20.1,-33.79,-27.88,1
2.87,20.1,10.32,10.73,2
4.53,20.1,-1.76,11.8,3
4.73,20.09,-0.99,9.03,3
2.46,20.06,-2.57,7.5,2
4.77,20.06,7.83,10.37,3
6.42,20.05,-4.67,13.35,4
0,20.04,-9.35,-2.03,1
0,19.97,-18.12,-7.06,1
0,19.95,-26.57,-15.87,1
5.3,19.94,14.97,20.92,4
2.87,19.93,-15.38,2.61,2
2.01,19.89,-18.16,3.84,2
5.12,19.88,-7.22,8.32,4
1.14,19.85,3,2.72,2
2.93,19.73,3.51,16.41,2
4.58,19.7,4.57,9.9,3
0,19.59,-14.07,-10.43,1
0,19.55,-6.71,-8.1,1
6.73,19.55,1.36,7.75,4
4.97,19.54,0.61,7.86,3
5.29,19.46,-1.63,4.99,4
4.8,19.45,1.97,15.71,3
0.49,19.39,-5.01,1.51,1
5.72,19.38,5.84,14.83,4
1.43,19.36,13.1,12.68,2
1.94,19.36,28.83,4.17,2
2.4,19.36,-4.59,15.93,2
1.58,19.33,4.28,4.62,2
4.53,19.32,-4.47,3.21,3
5.26,19.32,-2.91,10.86,4
3.73,19.31,10.48,16.35,3
0.43,19.28,32.97,-3.23,1
3.48,19.27,-1.87,3.9,3
5.01,19.16,-0.09,4.83,4
2.76,19.11,-10.89,8.56,2
3.25,19.11,5.55,9.05,3
2.21,19.1,-5.8,5.5,2
2.78,19.1,4.06,4.25,2
4.96,19.01,-6.23,7.31,3
2.9,19,3.04,6.1,2
2.79,18.92,1.31,4.54,2
5.07,18.92,5.43,9.41,4
1.17,18.9,4.23,4.63,2
2.8,18.9,6.76,12.25,2
3.62,18.88,10.74,9.42,3
4.65,18.82,6.62,12.73,3
0.71,18.73,-3.6,38.26,1
2.99,18.67,7.91,12.55,2
0,18.66,-13.77,-11.64,1
2.88,18.57,-8.87,2.69,2
0,18.41,-17.64,-9.36,1
4.04,18.38,40.37,10.45,3
1.89,18.29,-1.55,5.49,2
0,18.15,-14.06,-10.24,1
6,18.15,-5.74,9.39,4
4.69,18.08,0,4.49,3
2.48,18.01,-1.33,8.19,2
3.06,18.01,27.48,15.74,3
0.87,17.9,17.41,4.91,1
0,17.86,-11.25,-10.43,1
0,17.8,-9.56,-10.95,1
3.91,17.79,-11.61,4.54,3
0,17.67,-4.36,-7.12,1
4.41,17.61,-7.22,6.67,3
6.54,17.52,10.7,12.37,4
3.02,17.47,4.33,14.84,3
1.74,17.42,7.77,16.99,2
0,17.32,-5.1,0.06,1
0,17.28,0.14,-2.87,1
3.94,17.27,-2.6,10.78,3
4.01,17.25,-7.32,12.41,3
0,17.22,-51.22,-38.82,1
1.45,17.22,2.98,-12.04,2
0,17.2,-3.53,-1.49,1
0,17.16,41.39,6.87,1
5,17.15,6.76,5.66,3
3.06,17.12,0.1,1.63,3
0,17.06,56.81,-5.26,1
3.32,16.96,-0.64,6.03,3
0,16.87,-20.51,-19.78,1
4.21,16.82,2.54,5.61,3
0,16.81,-5.97,-6.34,1
5.3,16.76,2.42,11.54,4
6.4,16.75,-4.29,6.31,4
0,16.74,-26.66,10.32,1
0,16.72,-4.67,-0.11,1
7.3,16.67,6.59,12.99,5
0,16.66,-0.96,3.04,1
6.32,16.63,10.22,6.7,4
1.05,16.6,-4.23,3.77,2
0,16.58,14.3,-51.33,1
0,16.54,-10.89,-9.7,1
2.08,16.49,37.67,6.86,2
5.73,16.49,-7.81,8.27,4
6.58,16.49,-1,22.31,4
0,16.44,-27.66,-28.95,1
0.77,16.42,-3.16,1.03,1
0,16.34,8.34,1.94,1
0,16.27,-19.19,-38.64,1
0,16.15,-15.82,-15.76,1
1.04,16.12,5.88,8.74,2
1.8,16.11,91.77,5.01,2
0,16.1,-1.32,-17.04,1
3.15,15.96,-5.64,8.24,3
0,15.7,-5.21,-2.93,1
4.38,15.69,26.09,9.57,3
0.64,15.63,-23.33,19.23,1
0,15.56,-6.9,1.8,1
2.39,15.54,11.13,17.01,2
0,15.53,-22.84,1.22,1
2.8,15.49,-17.19,2.17,2
3.89,15.47,13.66,16.63,3
1.27,15.43,-16.84,-3.01,2
4.63,15.32,1.23,6.81,3
5.15,15.31,-7.97,3.1,4
0,15.26,5.21,1.18,1
1.89,15.25,8.61,10.84,2
2.76,15.2,8.41,14.88,2
1.99,15.18,1.93,2.49,2
2.35,15.18,5.5,10.56,2
2.92,15.15,1.92,7.46,2
3.6,15.06,-2.77,2.9,3
2.79,15,-5.14,-0.37,2
0.76,14.99,11.36,0.99,1
4.43,14.99,-1.15,7.59,3
5.54,14.97,-2.47,11.95,4
0,14.95,-21.84,-19.52,1
0,14.9,5.36,-0.09,1
2.98,14.9,0.57,3.22,2
0,14.88,4.33,-28.31,1
4.13,14.78,-2.29,8.77,3
0.94,14.74,0.43,1.31,1
4.32,14.73,0.08,6.16,3
0,14.7,66.84,0.79,1
6.06,14.61,4.25,7.85,4
0,14.59,-1.99,-4.67,1
2.15,14.54,-5.68,6.46,2
0,14.51,-1.19,1.61,1
0,14.45,-10.59,-13.89,1
4,14.41,-4.86,10.91,3
3.57,14.35,0.95,14.9,3
1.5,14.29,0.97,6.78,2
5.97,14.24,-1.49,11.85,4
3,14.2,4.35,5.01,2
0,14.06,69.37,-53.99,1
2.64,14.01,-12.32,-3.25,2
3.01,13.98,0.05,4.45,3
1.54,13.97,121.72,58.42,2
7,13.94,-0.9,18.08,4
0.94,13.93,1.25,18.27,1
1.45,13.92,-9.6,-0.21,2
2.1,13.87,5.05,14.05,2
3.49,13.78,3.29,17.39,3
0,13.75,-12.17,-14.14,1
0.99,13.75,69.84,15.98,1
3.97,13.72,-13.65,0.7,3
0,13.71,-17.67,-5.74,1
0,13.67,-32,-37.28,1
0.83,13.6,-12.46,8.24,1
6.58,13.6,0.64,6.23,4
1.89,13.57,12.82,8.69,2
6.2,13.55,3.53,9.68,4
2.81,13.45,0.43,5.74,2
0,13.43,-6.57,-6.22,1
1.97,13.35,-2.16,5.62,2
2.15,13.35,4.35,5.09,2
1.19,13.34,0.22,2.93,2
2.2,13.34,3.01,3.98,2
4.3,13.31,6.87,15.88,3
2.09,13.3,-1.58,9.17,2
12.2,13.23,45.7,41.02,6
0,13.22,-4.89,-3.77,1
5.34,13.18,3.82,9.14,4
2.18,13.12,8.95,10.67,2
1.54,13.1,5.2,14.05,2
1.35,13.08,1.89,2.93,2
0,13.06,-21.82,-12.34,1
0,13.05,65.56,-15.29,1
0.11,12.94,6.21,0.35,1
0,12.83,5.23,3.79,1
2.73,12.76,4.99,8.36,2
0,12.74,-29.19,-26.26,1
0,12.67,-27.41,-16.99,1
0.95,12.56,82.92,3.95,1
0,12.54,-6.76,-4.15,1
0.72,12.52,-0.76,1.19,1
6.08,12.51,6.05,12.67,4
0.74,12.45,664.38,2.12,1
3.49,12.42,-0.33,11.82,3
0,12.34,-2.59,-1.4,1
2.02,12.34,-2.51,0.57,2
0,12.32,-4.44,-2.28,1
0,12.25,-1.89,-1.14,1
1.4,12.23,13.3,8.59,2
0,12.18,77.85,-2.37,1
0,12.16,12.58,2.24,1
4.08,12.16,0.33,11.15,3
1.81,12.13,-11.95,-0.73,2
0,12.03,-1.95,4.16,1
0,12.02,26.12,24.06,1
0.38,11.98,-13.29,0.67,1
0,11.97,-19.26,-34.03,1
1.13,11.96,-15.11,2.28,2
0.81,11.92,-8.59,1.97,1
0.47,11.91,-14.34,-4.11,1
0,11.78,-4.95,-5.37,1
0,11.72,-15.42,-20.66,1
3.91,11.67,-12.56,6.25,3
0,11.66,-17.87,-1.36,1
0,11.63,-10.27,-7.93,1
1.96,11.63,3.45,4.8,2
0.72,11.61,11.07,-1.85,1
1.14,11.58,-1.59,1.68,2
4.08,11.56,19.7,15.48,3
0.61,11.47,35.12,28.17,1
5.66,11.39,43.47,12.93,4
0,11.35,90.52,-13.11,1
0,11.28,30.49,-8.53,1
3.07,11.22,5.18,26.64,3
2.75,11.17,-4.51,8.01,2
1.92,11.14,-8.41,-1.02,2
4.72,11.1,-3.53,3.72,3
7.07,11.1,3.5,11.02,5
5.19,11.09,7.01,18.53,4
2.85,11.05,-0.49,10.82,2
2.31,10.98,-10.2,3.96,2
0,10.97,60.54,-15.93,1
2.66,10.93,-1.66,5.43,2
0,10.89,-6.4,-13.68,1
6.44,10.7,1.24,14.97,4
0,10.68,5.26,2.76,1
4.84,10.67,-2.19,6.79,3
4.28,10.59,-1.95,6.24,3
0.67,10.58,-14.3,-7.87,1
2.16,10.54,-3.72,8.43,2
0.84,10.51,1.67,6.83,1
0,10.48,-4.89,5.97,1
0,10.45,20.64,0.11,1
2.14,10.45,37.39,-3.85,2
0,10.43,-5.35,-5.07,1
4.64,10.43,17.96,17.99,3
0,10.33,176.78,-18.36,1
1.51,10.29,-3.5,4.35,2
0,10.26,-5.78,-7.55,1
3.2,10.15,45.47,8.47,3
2.64,10.14,-8.19,11.37,2
0.56,10.12,-10.92,1.33,1
0,10.04,-1.95,-2.01,1
2.56,9.95,-4.46,5.67,2
0,9.84,-1.62,-1.9,1
0,9.76,49.84,-10.89,1
4.69,9.62,-8.11,10.64,3
0,9.6,-14.63,-3.58,1
0.8,9.6,-18.43,-5.82,1
2.54,9.55,-2.46,7.4,2
1.1,9.53,21.66,22.7,2
1.49,9.52,7.03,11.94,2
0,9.48,-16.49,-14.21,1
0,9.47,-12.69,-16.67,1
0,9.44,8.03,8.61,1
4.71,9.44,-0.91,7.99,3
0,9.42,-2.6,-2.91,1
2.64,9.36,74.38,55.84,2
0,9.35,-8.56,-5.99,1
0.73,9.29,0.84,1.42,1
0,9.28,7.13,-13.97,1
0.54,9.25,284.18,37.3,1
0,9.23,-4.66,-4.88,1
5.48,9.2,-0.49,6.55,4
0,9.13,-14.44,-20.81,1
0,9.1,-2.08,-3.13,1
0,9.07,-16.04,-16.04,1
0,9.02,17.46,14.55,1
0,9,-7.81,-7.89,1
1.92,8.99,-5.3,8.91,2
0.54,8.95,1.77,6.2,1
0,8.92,27.82,-18.64,1
2.07,8.83,3.13,6.74,2
1.57,8.8,2.93,1.68,2
0.71,8.74,-3.28,0.67,1
0,8.66,-14.04,-39.69,1
0,8.6,-21.47,-5.48,1
2.33,8.56,3.68,2.34,2
0.09,8.45,-8.46,-0.01,1
0.81,8.4,-11.41,0.4,1
0,8.38,-2.36,-9.67,1
0.39,8.37,-2.42,0.7,1
1.69,8.23,2.3,4.87,2
1.13,8.2,4.02,9.32,2
4.27,8.19,2.65,5.29,3
1.97,7.86,45.63,9.4,2
0.84,7.82,86.22,51.16,1
0,7.51,-13.34,-8.15,1
0,7.27,56.12,-31.05,1
0,7.26,15.05,16.19,1
4.84,7.2,10.76,3.96,3
3.33,7.15,2.89,10.41,3
0,7.1,-10.72,-22.36,1
2.76,7.08,-1.81,2.88,2
1.64,6.88,-28.33,2.28,2
0,6.81,-19.96,-24.59,1
0,6.77,-7.44,-8.22,1
0.4,6.5,-6.04,-5.77,1
0,6.47,-6.27,-3.79,1
6.87,6.34,-1.66,4.88,4
0,6.33,-13.72,-10.85,1
3.11,6.29,-3.95,3.22,3
4.24,6.12,16.68,15.43,3
0,6.07,3.5,2.21,1
0,6.05,-3.78,0.96,1
0,5.96,180.82,-24.35,1
1.72,5.66,-0.16,4.89,2
0,5.64,-1.39,-8.41,1
0,5.64,76.07,-14.46,1
0,5.61,-13.35,-10.1,1
3.5,5.58,9.65,14.33,3
0,5.56,19.02,14.31,1
0,5.46,-29.63,-33.41,1
3.76,5.44,-12.31,-7.04,3
0,5.39,5.04,-63.79,1
2.05,5.12,-1.39,3.13,2
0.39,5.08,2.71,5.33,1
1.18,4.93,4.43,13.48,2
0,4.78,94.4,-14.35,1
0,4.76,-15.95,-13.44,1
1.43,4.71,-21.09,-3.5,2
0,4.7,-2.95,-2.28,1
0,4.67,-4.32,-4.95,1
0,4.66,94.2,-39.31,1
1.16,4.55,2.19,8.55,2
0,4.28,79.85,-7.63,1
1.02,4.22,24.18,-2.33,2
0,3.97,-9.6,-10.26,1
0,3.91,9.05,-2.6,1
1.52,3.77,-1.11,0.78,2
0,3.59,92.61,-13.06,1
0,3.4,-0.6,-0.38,1
0,3.39,-17.62,-19.62,1
0.42,3.1,-7.77,-2.97,1
0,2.97,31.34,-35.68,1
0,2.91,-8.32,-11.99,1
5.35,2.61,32.71,32.15,4
0,2.37,89.22,-50.65,1
1.4,2.3,-0.32,6.94,2
0,2.26,-6.93,-4.9,1
0,2.24,210.32,-19.3,1
0,2.01,-1.53,-3.18,1
0,1.46,-7.73,-6.69,1
0,1.38,16.5,-21.32,1
0,0.96,-4.27,-4.04,1
0.66,0.76,23.69,25.2,1
