no,EPS,debt,roa,asset,class
2070,0.67,37.85,0.51,0.39,4
3390,0.53,34.25,2.03,0.39,4
1762,0.52,35.32,0.57,0.19,4
9925,0.52,32.37,1.15,0.42,4
1449,0.52,71.7,-0.16,0.58,4
2484,0.24,20.74,0.01,0.4,4
1444,0.24,37.11,0.83,0.43,4
6164,0.14,34.76,1.77,0.51,4
3516,0.08,39.39,0.71,0.54,4
8466,0.03,60.56,1.46,0.45,4
5460,-0.02,9.7,0.48,0.27,3
6171,-0.05,44.96,-0.15,0.01,3
2926,-0.19,96.51,0.07,0.38,3
1308,-0.32,10.56,-2.67,0.42,3
3224,-0.37,17.18,-0.7,0.4,3
8409,-0.69,40.34,-3.93,0.22,3
3234,-0.83,33.5,-5.93,0.41,3
6153,-0.96,36.23,-1.63,0.31,3
4120,-1.04,59.8,3.04,0.41,3
M2870,1.5,61.34,2.32,0.44,4
2851,1.34,63.41,2.91,0.46,4
2114,1.25,17.71,2.54,0.35,4
4951,0.96,11.98,3.28,0.48,4
5828,0.92,82.27,1.29,0.44,4
6173,0.85,18.47,3.28,0.41,4
3455,0.7,45.05,1,0.3,4
6960,0.59,71.59,1.23,0.47,4
3284,0.5,44.23,2.16,0.41,4
8074,0.34,43.09,1.46,0.44,4
1783,0.32,9.16,-0.95,0.34,4
OTC17,0.17,33.24,0.74,0.41,4
8162,0.17,40.22,0.5,0.44,4
O1722,0.05,33.2,0.46,0.41,4
6177,0.04,74.17,0.26,0.06,4
2426,-0.05,23.13,-0.12,0.43,3
2007,-0.42,55.62,-1.78,0.46,3
4154,-0.89,54.03,-8.16,0.06,3
2330,8.7,36.67,4.71,0.42,5
7722,3.46,56.21,1.63,0.46,4
3583,2.61,79.72,1.87,0.46,4
6212,2.34,66.31,2,0.76,4
2848,1.99,70.77,2.31,0.41,4
6257,1.62,47.25,3.63,0.44,4
T2870,1.17,70.69,1.87,0.43,4
O1721,0.93,33.54,3.03,0.41,4
2303,0.84,33.3,3.26,0.39,4
6216,0.73,11.65,3.51,0.58,4
1603,0.67,35.24,2.38,0.4,4
6612,0.59,14.56,2.13,0.33,4
3706,0.57,32.01,-0.21,0.44,4
1321,0.53,48.82,0.51,0.37,4
1737,0.52,19.93,1.04,0.39,4
6516,0.33,15.09,1.76,0.29,4
3052,0.28,65.4,0.78,0.32,4
2483,0.12,39.82,0.92,0.4,4
1452,-0.02,5.85,1.65,0.46,3
3092,-0.09,59.66,0.36,0.34,3
5484,-0.21,36.77,-1.75,0.36,3
5314,5.38,19.03,34.59,2.15,5
6640,4.93,55.48,8.01,0.85,4
3679,4.33,44.46,4.14,0.43,4
2852,0.85,57.82,1.42,0.39,4
3086,0.8,8.7,5.15,0.48,4
6205,0.61,35.31,2.65,0.35,4
2939,0.54,16.95,2.63,0.24,4
4747,0.45,14.29,1,0.33,4
8110,0.3,36.69,0.09,0.46,4
1303,0.16,41.86,1.34,0.36,4
3703,0.12,62.41,0.8,0.31,4
3228,0.12,18.66,1.03,0.62,4
2349,0.02,45.84,0.93,0.4,4
2344,-0.11,46.82,-0.61,0.43,3
3576,-0.17,57.23,-0.57,0.2,3
6202,-0.2,34.61,-4.12,0.29,3
3373,-0.26,6.03,0.09,0.36,3
9955,-0.31,55.08,-1.04,0.38,3
9919,-0.48,62.33,-0.52,0.37,3
6488,8.1,64.73,2.59,0.31,5
4736,4.24,18.84,3.4,0.36,4
5483,3.4,63.48,2.59,0.34,4
1777,1.96,20.84,3.05,0.38,4
6727,1.82,59.25,1.62,0.5,4
2420,1.23,30.82,3.89,0.41,4
5306,1.21,35.52,2.61,0.36,4
8069,1.16,40.16,4.98,0.29,4
9938,1.12,54.91,2.1,0.44,4
4768,1.03,23.72,1.81,0.4,4
1402,0.32,52.65,1.24,0.39,4
6552,0.27,38.85,2.72,0.46,4
1468,0.25,53.76,1.95,0.36,4
4155,0.25,22.3,1.33,0.46,4
8021,0.15,28.02,2.32,0.43,4
1434,0.11,26.34,-5.34,0.41,4
5490,0.08,37.59,1.26,0.71,4
8042,-0.03,51.35,1.46,0.36,3
5438,-0.05,20.06,5.67,0.3,3
2342,-0.06,30.07,-0.31,0.41,3
9929,-0.09,59.92,-0.27,0.33,3
4956,-0.13,39.51,-0.46,0.39,3
3625,-0.48,65.7,-1.75,0.36,3
6823,-1.4,55.11,-3.69,0.26,3
8446,2.8,48.94,4.57,0.32,4
6147,1.66,14.51,4.87,0.31,4
5347,0.78,56.04,1.7,0.37,4
8076,0.78,35.92,6.55,0.35,4
6584,0.72,41.95,1.4,0.47,4
2607,0.53,25.15,3.69,0.41,4
2401,0.39,23.39,2.08,0.38,4
3522,0.28,63.04,1.08,0.57,4
8171,0.17,34.37,0.62,0.46,4
1570,0.14,12.35,3.43,0.37,4
2405,0.07,15.03,1.58,0.39,4
1506,0.04,10.99,-1.41,0.32,4
1301,0.03,36.5,-0.68,0.36,4
1806,0.03,32.33,0.42,0.42,4
1517,-0.02,15.57,0.68,0.33,3
1440,-0.06,42.27,0.22,0.33,3
9949,-0.1,16.51,-0.5,0.38,3
8277,-0.16,21.37,-2.92,0.38,3
3372,-0.16,12.19,-1.32,0.41,3
6708,-0.25,7.83,-1.31,0.28,3
6664,4.65,62.12,3.82,0.33,4
2338,3.16,76.14,2.79,0.34,4
4572,2.14,19.33,3.48,0.39,4
5478,1.83,52.36,2.27,0.36,4
1339,1.8,27.34,2.73,0.38,4
6655,0.98,64.14,1.15,0.32,4
6859,0.91,23.33,1.59,0.24,4
2433,0.51,45.87,0.61,0.35,4
1583,0.36,47.71,0.52,0.28,4
8028,0.36,55.57,0.69,0.32,4
6712,0.3,12.65,1.05,0.31,4
5443,0.29,49,16.23,0.44,4
2371,0.28,53.81,0.59,0.32,4
8111,0.27,37.64,1.61,0.35,4
1530,0.18,44.24,0.53,0.24,4
2515,0.07,58.75,0.19,0.35,4
2009,0,20.89,19.79,0.29,3
1417,-0.02,22.59,0.91,0.27,3
3150,-0.03,15.67,-0.21,0.4,3
3580,-0.15,52.27,0.38,0.22,3
2548,-0.27,57.3,-0.17,0,3
9906,-0.56,84.95,-0.48,0.04,3
6210,-0.95,12.03,-5.06,0.38,3
4190,-1.52,75.21,-0.81,0.29,3
1589,-4.62,66.45,-1.6,0.23,3
5455,2.78,78.09,3.74,1.03,4
3680,2.24,44.72,2.24,0.35,4
3152,1.76,16.82,2.8,0.37,4
M2600,1.43,50.31,2.66,0.42,4
8936,0.71,37.64,1.04,0.38,4
3563,0.5,15.89,0.55,0.19,4
3499,0.06,38.42,0.82,0.4,4
3189,0.05,51.05,0.68,0.36,4
6182,0,24.74,2.19,0.26,3
6124,-0.04,26.55,0.73,0.29,3
1526,-0.06,47.11,0.15,0.26,3
2712,-0.09,29.34,-0.55,0.28,3
8935,-0.15,40.49,-0.17,0.33,3
5355,-0.18,14.89,-2.15,0.38,3
4576,-0.19,34.26,0.09,0.3,3
6698,-0.29,34.97,-0.16,0.28,3
6598,-0.77,35.76,-3.99,0.33,3
6854,-0.8,28.54,-2.37,0.33,3
6141,-2.45,78.06,-3.61,0.42,3
2327,11.02,59.6,3.04,0.34,6
6679,2.86,10.49,7.2,0.36,4
6531,2.27,17.04,2.94,0.24,4
2739,1.82,89.77,1.36,0.4,4
9944,1.53,42.24,4.12,0.47,4
2492,1.27,39.28,2.38,0.34,4
9918,1.01,47.34,3.1,0.47,4
3532,0.99,50.8,0.77,0.25,4
1540,0.66,17.16,3.21,0.29,4
OTC89,0.49,52.35,1.34,0.34,4
4702,0.31,17.22,2.08,0.1,4
6606,0.21,27.26,6.62,0.31,4
1217,0.16,45.87,2.56,0.33,4
4977,0.15,33.48,2.24,0.1,4
6877,0.08,48.73,0.38,0.31,4
2614,0.02,75.49,0.23,0.33,4
4556,-0.04,47.89,1.55,0.4,3
8027,-0.29,40,-0.24,0.28,3
8054,-0.33,19.03,-0.97,0.25,3
4971,-0.36,14.32,3.28,0.38,3
6441,-0.43,33.52,-1.08,0.19,3
5351,-0.65,49.24,-2.65,0.51,3
3055,-0.9,25.41,-3.19,0.26,3
3498,-1.54,29.29,-1.91,0.08,3
2603,8.14,35.3,4.41,0.47,5
8942,2.01,34.64,2.65,0.28,4
6271,1.74,28.47,1.27,0.35,4
2520,1.39,59.91,1.49,0.34,4
5519,1.22,61.17,2,0.73,4
6741,1.02,34,3.76,0.35,4
4543,0.89,33.29,2.01,0.31,4
6923,0.88,53.1,1.8,0.45,4
4907,0.27,81.22,0.3,0.08,4
8927,0.06,73.84,0.12,0.27,4
5251,0.06,18.15,1.33,0.45,4
4729,-0.05,58.64,1.74,0.29,3
2340,-0.08,36.89,-0.96,0.3,3
4737,-0.08,64.04,0.65,0.35,3
2431,-0.19,12.19,0.35,0.26,3
4577,-0.41,50.9,-0.96,0.19,3
5210,-0.47,35.44,-4.66,0.48,3
2337,-0.58,38.61,-0.67,0.3,3
5228,-0.8,52.91,-2.52,0.32,3
6451,-0.81,49.45,2.12,0.25,3
1532,1.34,68.04,1.43,0.36,4
2211,1.16,23.08,2.96,0.31,4
8086,1.09,16.92,2.37,0.57,4
1786,0.76,31.82,2.35,0.35,4
3310,0.59,72.21,1.22,0.2,4
6510,0.43,7.47,0.22,0.33,4
1813,0.41,26.13,1.45,0.3,4
2646,0.3,79.59,-0.49,0.37,4
4130,0.15,8.42,2.38,0.35,4
6994,0.04,72.13,0.08,0.37,4
5398,0.03,23.41,2.82,0.25,4
4523,-0.09,52.85,-2.11,0.24,3
8024,-0.34,7.86,-1.99,0.31,3
3494,-0.35,71.77,-2.95,0.38,3
3714,-0.62,23.02,-1.33,0.35,3
4804,-0.68,81.44,-6.41,0.27,3
4746,-0.8,39.55,-0.83,0.34,3
4540,-1.71,58.73,-2.15,0.31,3
4991,-1.9,14.61,-3.47,0.4,3
5269,12.8,14.48,8.18,0.35,6
6719,1.41,8.68,1.08,0.38,4
5203,1.26,20.98,3.09,0.34,4
3645,0.22,41.01,0.54,0.39,4
3031,0.19,18.46,2.14,0.3,4
3615,0.15,26.57,0.79,0.34,4
2302,0.11,25.93,1.2,0.25,4
1531,0.07,14.18,1.75,0.35,4
3002,-0.01,24.45,4,0.34,3
8472,-1.7,67.97,-2.71,0.31,3
2609,2.69,27.9,3.29,0.44,4
8422,2.26,58.14,1.56,0.32,4
8077,1.62,88.84,1.15,0.36,4
1442,1.43,55.4,3.01,0.44,4
2832,1.11,51.22,2.68,0.32,4
2539,0.47,54.78,1.54,0.2,4
8341,0.46,52.58,1.1,0.3,4
3266,0.44,52.24,1.2,0.34,4
5533,0.15,21.41,0.36,0.08,4
3024,0.08,46.46,0.99,0.27,4
6226,-0.07,47.53,0.92,0.26,3
4562,-0.18,53.18,-0.54,0.32,3
2104,-0.25,39.49,0.8,0.3,3
4503,-0.3,11.4,-1.28,0.33,3
3085,-0.31,44.01,-4.45,0.36,3
2241,-0.31,37.39,-1.3,0.28,3
6462,-1.31,34.99,-0.59,0.31,3
2235,0.87,16.63,1.88,0.32,4
3188,0.84,64.43,2.24,0.36,4
6642,0.78,29.13,2.29,0.35,4
4772,0.59,11.25,4.32,0.46,4
4716,0.47,41.5,2.14,0.29,4
1595,0.36,39.56,0.5,0.19,4
8404,0.18,67.96,1.03,0.33,4
2613,0.15,69.27,0.25,0.3,4
2477,0.07,44.98,2.36,0.22,4
6233,-0.04,9.28,13.67,0.26,3
4555,-0.06,34.59,0.8,0.29,3
5525,-0.13,71.35,-0.21,0.03,3
4541,-0.15,60.54,-0.27,0.3,3
6198,-0.16,16.91,-0.38,0,3
2323,-0.25,26.23,-0.48,0.29,3
8038,-0.41,49.32,-1.99,0.08,3
2059,14.55,19.55,6.63,0.36,6
2615,1.65,37.96,3.43,0.32,4
6207,0.99,54.71,4.96,0.28,4
2375,0.74,38.21,0.97,0.32,4
9926,0.68,51.51,2.66,0.33,4
6789,0.57,31.68,0.73,0.34,4
3441,0.51,20.34,4.18,0.3,4
1465,0.36,15.9,1.93,0.23,4
1536,0.32,60.61,0.62,0.26,4
8011,0.25,52.34,0.78,0.39,4
6578,0.11,27.68,0.75,0.29,4
4976,0.05,18.15,0.22,0.32,4
6742,0.02,23.86,0.32,0.29,4
8067,0.02,54.13,0.18,0.25,4
4164,0.01,52.89,0.11,0.19,4
3713,-0.1,76.82,-0.28,0.14,3
5211,-0.21,10.75,-0.67,0.35,3
6875,-0.45,9.55,-2.94,0,3
6187,2.07,31.15,4.54,0.61,4
4909,1.76,13.65,5.96,0.79,4
Y9999,1.13,77.99,1.09,0.27,4
6184,0.84,49.25,1.65,0.28,4
1525,0.66,15.55,2.12,0.21,4
2017,0.62,39.91,4.45,0.25,4
OTC25,0.59,70.23,0.87,0.25,4
4133,0.44,7.87,2.21,0.25,4
2903,0.41,72.99,0.68,0.26,4
1104,0.37,17.59,3.16,0.27,4
4109,0.14,14.49,1.53,0.46,4
5498,0.08,45.54,1.06,0.28,4
3167,-0.19,49.41,0.33,0.37,3
5206,-0.41,77.05,-0.51,0.01,3
2348,7.93,69.76,3.41,0.3,5
1597,0.41,41.9,1.27,0.26,4
6103,0.28,23.84,2.43,0.22,4
2415,0.25,67.07,1.32,0.28,4
1789,0.18,12.11,1.35,0.3,4
9928,0.14,60.48,0.05,0.2,4
3308,0.13,50.9,1.25,0.06,4
1432,0,84.38,-0.23,0.26,3
4426,0,43.67,-0.04,0.23,3
3508,-0.36,76.32,-1.03,0.21,3
6431,-0.62,46.07,-2.36,0.23,3
6426,-0.84,8.25,-2.73,0.26,3
6684,-1.23,9.5,-3.19,0.18,3
3008,45.79,18.38,3.95,0.23,7
2540,1.53,69.82,1.63,0.25,4
2362,1.42,56.93,2.85,0.23,4
2316,0.99,36.96,1.73,0.22,4
4167,0.22,11.66,1.81,0.27,4
2722,0.21,25.93,0.26,0.2,4
6219,0.2,85.56,0.23,0.06,4
2406,0.05,45.14,-0.23,0.42,4
5301,-0.06,24.09,-1.2,0.43,3
5487,-0.08,9.27,-0.03,0.3,3
5272,-0.27,12.73,1.13,0.26,3
5475,-0.4,55.1,-1.76,0.18,3
1312,-0.44,41.68,0.56,0.21,3
4583,4.59,16.93,3.31,0.26,4
1102,0.89,43.71,2.87,0.21,4
3083,0.5,7.21,2.38,0.3,4
3691,0.5,42.18,-0.29,0.5,4
6234,0.48,37.69,1.42,0.18,4
M2500,0.33,63.6,0.67,0.19,4
5834,0.31,79.99,1.04,0.28,4
1611,0.18,19.5,1.38,0.21,4
1529,-0.11,44.33,-0.51,0.18,3
6127,-0.27,64.9,0.64,0.27,3
4950,-0.43,54,-12.04,0,3
6763,4.72,57.8,0.47,0.24,4
M9900,1.6,74.12,1.33,0.24,4
3622,1.07,9.82,4.05,0.18,4
6446,1,10.36,1.42,0.24,4
8473,0.81,48.49,1.19,0.19,4
M1100,0.41,44.65,1.98,0.2,4
6155,0.31,29.35,1.89,0.23,4
1101,0.26,47.9,1.67,0.2,4
1459,0.01,39.98,0.37,0.32,4
6770,-0.11,48.54,-0.24,0.23,3
2736,-0.13,44.22,-0.16,0.17,3
3535,-0.13,33.94,-0.51,0.14,3
6130,-0.13,17.14,-0.49,0.15,3
8085,-0.17,42.1,8.93,0.17,3
2466,-0.38,57.93,0.34,0.12,3
3630,-0.43,53.27,-0.42,0.32,3
6668,-0.46,42.61,-0.55,0.26,3
2254,-0.56,58.19,-1.52,0.18,3
8101,-0.72,92.67,-7.44,0.18,3
3105,0.96,43.49,1.85,0.27,4
5522,0.56,54.65,0.48,0.14,4
6185,0.17,17.14,3.18,0.17,4
6237,0.03,6.52,0.21,0.2,4
2596,-0.11,47.73,-0.27,0.09,3
1815,-0.13,50.39,0.28,0.23,3
1799,-0.41,45.35,-3.29,0.23,3
6116,-0.46,23.11,-2.47,0.19,3
3518,-0.57,20.44,-2.03,0.21,3
3521,-0.62,47.93,-4.16,0.33,3
3490,1.92,18.88,7.07,0.11,4
6464,1.8,54.83,1.28,0.23,4
3064,1.01,67.44,3.7,0.37,4
2201,0.83,76.38,0.75,0.21,4
8107,0.55,51.87,1.57,0.29,4
2495,0.45,34.59,1.88,0.21,4
3050,0.42,46.09,1.32,0.24,4
9902,0.39,6.76,2.75,0.42,4
4911,0.35,11.06,2.23,0.25,4
4173,0.29,65.78,-0.69,0.22,4
2365,0.16,15.45,1.73,0.25,4
6560,0.09,8.31,0.46,0.1,4
3081,-0.44,12.58,-1.25,0.3,3
3555,-0.49,53.6,-3.84,0.22,3
6735,0.69,12.34,2.59,0.45,4
8087,0.62,38.63,2.05,1.14,4
9931,0.51,55.01,2.23,0.43,4
8926,0.42,40,1.22,0.31,4
4119,0.37,23.24,0.63,0.19,4
2904,0.33,37.62,1.88,0.24,4
5534,0.3,55.53,0.19,0.05,4
3094,0.02,14.24,0.54,0.13,4
6762,-0.1,60.76,-0.08,0.13,3
5701,-0.12,75.05,-0.86,0.18,3
5468,-0.15,51.33,-0.94,0.19,3
5205,-0.38,34.12,-5.16,0.2,3
2390,-0.68,13.98,-4.43,0.21,3
5464,1.51,69.21,2.19,0.19,4
2605,0.6,24.86,5.33,0.21,4
1409,0.22,77.37,0.17,0.21,4
2305,0.14,21.83,1.94,0.24,4
2101,0.01,75.39,0.47,0.19,4
2008,0,54.38,-0.64,0.19,3
8059,-0.02,30.54,-0.07,0.09,3
3297,-0.03,29.67,-0.12,0.19,3
4420,-0.68,52.26,-0.67,0.16,3
2724,-0.84,49.4,1.38,0.14,3
6706,-0.98,40.8,-0.88,0.12,3
6533,-1,8.64,-0.87,0.16,3
2637,1.99,47.41,3.8,0.21,4
6186,0.87,83.52,0.65,0.19,4
4162,0.57,2.89,2.04,0.16,4
3687,0.5,55.44,0.17,0.19,4
2501,0.47,65.1,0.85,0.34,4
1315,0.42,8.75,-1.27,0.16,4
3164,0.4,15.68,2.73,0.28,4
1722,0.33,32.59,1.08,0.16,4
2542,0.32,75.75,0.38,0.09,4
1419,0.3,27.74,5.23,0.18,4
5512,0.12,54.59,0.38,0.15,4
1110,0.05,24.19,1.05,0.19,4
8450,-0.06,49.27,-0.39,0.18,3
6236,-0.27,8.34,-5.28,0.2,3
6477,-0.3,58,-0.35,0.09,3
4142,-0.44,40.18,-1.94,0.02,3
2606,1.17,55.31,4.88,0.19,4
1229,0.7,21.96,7.55,0.14,4
8367,0.65,73.5,0.48,0.16,4
2612,0.65,49.37,2.81,0.17,4
9908,0.48,26.52,1.73,0.18,4
2511,0.08,43.61,-0.24,0.15,4
1314,0.06,45.78,0.39,0.22,4
6654,-0.27,60,0.28,0.1,3
2424,-1.21,57.07,-9.75,0.12,3
4946,-2.41,57.11,-15.29,0.26,3
5864,1.05,29.96,3.59,0.2,4
1713,0.41,5.04,2.04,0.15,4
2702,0.29,61.6,1.31,0.16,4
5263,0.12,37.12,0.48,0.17,4
3489,-0.08,71.32,-0.16,0.14,3
2924,-0.32,36.19,-4.04,0.13,3
4564,-0.53,44.44,-1.41,0.1,3
9945,2.46,40.58,5.51,0.15,4
8499,2.42,6.7,4.74,0.14,4
2611,1.14,20.3,7.08,0.16,4
2617,0.81,34.63,2.15,0.17,4
2442,0.67,69.18,1.18,0.08,4
2641,0.52,29.8,4.62,0.17,4
1410,0.22,17.87,1.02,0.16,4
4707,0.21,28.01,-1.72,0.11,4
8906,-0.19,71.28,-0.41,0.13,3
4171,-0.35,29.05,-1.63,0.16,3
1337,-0.36,12.49,-0.32,0.22,3
4131,-0.4,30.06,-3.64,0.12,3
4726,-0.66,32.44,-3.76,0.09,3
1471,0.04,7.09,1.32,0.14,4
1457,0.03,55.8,-0.32,0.17,4
6136,0.03,5.84,10.9,0.12,4
2601,-0.07,68.49,0.98,0.15,3
4402,-0.1,4.79,-1.37,0.08,3
2408,-0.39,13.97,0.46,0.2,3
1456,-0.46,87.59,-0.36,0.09,3
5608,-0.55,53.12,1.35,0.15,3
6969,-0.61,69.63,-2.13,0.13,3
5907,-0.69,79.04,0.26,0.15,3
9941,2.27,86.22,0.6,0.14,4
8354,0.83,53.52,1.85,0.15,4
2491,0.25,11.85,1.22,0.13,4
1325,0.16,3.43,0.68,0.13,4
3252,0.13,48.1,0.19,0.14,4
2705,0,69.15,-0.01,0.13,3
8097,-0.16,8.57,-0.2,0.01,3
4609,-0.18,75.06,-0.7,0.09,3
6582,-0.23,5.17,1.26,0.14,3
6958,0.31,89.42,0.21,0.13,4
2901,0.12,12.57,0.85,0.14,4
1414,0.08,30.4,1.35,0.12,4
2547,-0.11,79.24,-0.13,0.1,3
1213,-0.43,75.19,-3,0.16,3
1591,-0.47,13.87,-2.23,0.31,3
3176,-0.54,41.18,-1.5,0.12,3
1340,-0.66,8.63,-0.34,0.07,3
1446,2.13,59.42,6.42,0.63,4
1742,1.19,64.85,2.86,0.06,4
1443,0.72,77.56,0.14,0.12,4
6026,0.5,55.01,1.72,0.13,4
5607,0.46,60.91,0.62,0.13,4
2633,0.37,81.73,0.52,0.13,4
2910,0.29,53.44,0.87,0.09,4
1463,0.09,18.36,0.97,0.11,4
5202,0.08,5.13,1.84,0.12,4
4147,-0.06,23.26,-0.26,0.15,3
6733,-0.09,6.48,-0.91,0.14,3
5905,-0.13,58.9,-0.42,0.11,3
3066,-0.23,27.87,-1.68,0.14,3
4188,-0.29,5.96,-3.8,0.06,3
8437,-0.35,23.16,1.32,0.1,3
1436,-0.36,79.82,-0.23,0.01,3
3523,-0.49,70.03,-1.81,0.17,3
6576,-0.88,31.78,-6.44,0.23,3
6588,-0.96,21.29,-2.8,0.11,3
4303,7.35,16.59,28.84,0.11,5
5871,3.6,82.19,0.83,0.11,4
5859,3.31,94.28,0.37,0.12,4
2905,1.27,96.66,0.32,0.11,4
Y5555,0.73,85.45,0.66,0.11,4
8937,0.16,46.79,0.82,0.07,4
4157,-0.01,8.56,-1.8,0.03,3
5213,-0.02,80.74,0,0.08,3
6199,-0.09,13.99,-0.86,0.09,3
2506,-0.17,34.9,-1.9,0.17,3
8291,-0.42,93.55,-6.58,0.06,3
4128,-0.43,8.17,-2.36,0.11,3
2438,-0.57,53.78,-4.24,0.18,3
5865,1.58,90.45,1.23,0.11,4
000960,1.44,80.93,1.09,0.09,4
2833,1.23,93.14,0.55,0.12,4
2823,1.05,93.07,0.92,0.1,4
6592,0.98,87.83,0.32,0.1,4
6015,0.65,71.28,1.37,0.13,4
2923,0.37,58.04,1.25,0.14,4
2107,0.35,14.28,3.81,0.07,4
1805,0.2,49.93,1.38,0,4
3040,0.16,8.05,-1.18,0.08,4
1453,0.15,30.12,0.79,0,4
2527,0.04,57.06,3.94,0.06,4
6649,-0.02,10.9,-0.13,0.11,3
5514,-0.05,48.19,0.33,0,3
2498,-1.08,49.96,0.84,0.05,3
5846,4.05,92.21,0.69,0.1,4
2545,1.83,77.59,1.11,0.18,4
2434,1.33,26.82,7.6,0.06,4
6016,1.07,78.62,1.65,0.13,4
000930,0.75,82.74,1.32,0.09,4
2530,0.23,57.69,0.8,0.13,4
3354,-0.04,24.19,0,0.11,3
2528,-0.1,77.91,-0.18,0,3
6228,-0.15,29.19,-0.21,0.08,3
3049,-0.29,32.99,-2.14,0.09,3
5531,-0.31,75.32,-0.34,0.02,3
6589,-0.34,11.07,-0.96,0.08,3
T2871,1.53,93.52,0.56,0.1,4
2855,1.19,81.16,1.18,0.1,4
0009A0,0.95,86.48,0.82,0.08,4
6021,0.72,64.55,8.51,0.1,4
2867,0.6,97.16,0.31,0.1,4
M2871,0.6,97.16,0.31,0.1,4
4714,0.59,26.34,10.25,0.09,4
6020,0.31,41.94,-0.12,0.06,4
2534,0.1,54.43,0.26,0.04,4
2536,-0.06,70.7,-0.05,0.03,3
1103,-0.06,39.37,-2.37,0.08,3
6405,-0.09,2.26,-0.54,0.06,3
6404,-0.12,33.66,-15.98,0.13,3
3629,-0.24,9.22,-5.5,0,3
2474,6.73,34.63,3.35,0.06,5
6008,1.59,87.3,0.74,0.08,4
T3000,0.97,83.04,0.87,0.07,4
1437,0.81,41.61,2.27,0.05,4
000980,0.68,85.17,0.6,0.07,4
2856,0.62,83.13,0.32,0.07,4
2524,0.54,51.88,0.53,0.1,4
1416,0.15,21.73,4.99,0.07,4
5831,0.06,95.13,0.37,0.08,4
3056,-0.14,71.28,-0.21,0.01,3
4108,-0.14,2.72,1.61,0.06,3
5324,-0.17,85.99,-0.41,0.07,3
1316,-0.27,47.88,-0.02,0.07,3
5345,-0.63,23.26,-11.04,0.04,3
2704,4.29,14.56,50.37,0.04,4
5530,1.03,65.35,1.5,0.06,4
M3000,0.9,83.71,0.77,0.07,4
OTC30,0.88,77.51,1.62,0.08,4
6005,0.62,84.72,0.56,0.06,4
5604,0.22,20.98,0.9,0.06,4
9946,0.12,55.96,1.02,0.08,4
3686,0.01,1.5,0.06,0.12,4
6264,0,78.8,0.36,0.07,3
5481,-0.14,23.22,-0.6,0.06,3
6547,-0.22,36.4,-1.25,0.04,3
2258,-0.33,11.13,-2.74,0.16,3
6499,-2.17,14.84,-7.58,0.07,3
5310,1.31,17.13,16.27,0.01,4
5601,0.1,25.9,0.36,0.05,4
3054,-0.11,6.38,-3.34,0.17,3
3432,-0.13,16.86,-0.35,0.08,3
6841,-0.19,3.78,-0.91,0.11,3
6240,-0.28,59.92,-1.71,0.05,3
4192,-0.38,7.15,-2.1,0.05,3
4123,-0.78,27.26,-1.91,0.05,3
4905,1.75,25.47,1.88,0.13,4
6024,1.27,86.64,0.6,0.04,4
1439,0.54,42.6,1.66,0.02,4
4113,0.51,78.3,0.71,0.33,4
2505,0.15,46.87,0.58,0.03,4
2537,0.07,74.59,0.14,0.08,4
1423,0.02,8.33,3.11,0.05,4
1718,0.01,91.09,0.22,0.05,4
2102,-0.19,48.21,-0.57,0.02,3
5529,-0.26,73.49,-0.56,0.02,3
6169,-0.27,25.95,-1.43,0.05,3
6872,-0.38,10.85,-3.96,0,3
6794,-0.57,13.75,-4.7,0.02,3
6023,1.83,87.71,0.58,0.03,4
3313,1.59,14.45,14.47,0.03,4
2701,0.06,13.61,0.53,0.03,4
2706,0.05,13.55,1.21,0.03,4
8429,-0.08,10.23,1.38,0.01,3
1438,-0.11,83.61,-0.09,0,3
3073,-0.26,67.7,-0.61,0.03,3
6535,-0.71,13.21,-7.4,0.01,3
2915,4.28,8.67,6.24,0.02,4
1235,0.41,48.27,14.99,0.01,4
2538,0.3,69.37,0.63,0.01,4
5833,0.21,73.42,0.24,0.02,4
3631,-0.01,44.43,1.53,0.01,3
1903,-0.05,53.76,-4.98,0.02,3
2913,-0.06,41.12,-0.2,0.02,3
6838,-0.15,36.35,-2.04,0.3,3
2509,-0.25,56.75,0.64,0.02,3
6919,-1.57,3.4,-5.85,0,3
6541,-3.12,85.32,-14.68,0,3
4416,0.15,88.58,0.07,0.01,4
1435,-0.03,12.19,-0.41,0.01,3
6222,-0.03,1.56,-0.41,0.01,3
5302,-0.06,26.63,-0.56,0.01,3
2363,-0.1,0.65,-1.11,0.01,3
3115,-0.13,8.29,-1.91,0,3
4743,-0.2,5.54,-1.88,0.01,3
6617,-0.22,14.61,0.65,0.01,3
4529,-0.23,5.9,-10.26,0.02,3
6461,-0.55,59.76,-2.76,0.02,3
6657,-0.56,3.97,-5.25,0.01,3
6949,-1.56,13.31,-5.61,0.01,3
4174,-2.28,12.53,-10.63,0.01,3
4806,-0.05,24.5,-0.96,0.02,3
6891,-0.08,4.76,-0.87,0,3
4712,-0.13,16.24,-3.19,0,3
6885,-0.33,1.81,-1.9,0,3
6550,-0.53,16.5,-1.66,0.01,3
1418,-0.65,72.9,-0.78,0,3
4168,-0.67,21.17,-4.8,0.02,3
6492,-0.71,2.83,-4.58,0,3
6901,-0.95,1.43,-6.39,0,3
